trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
75,True,"{'a': 0, 'e': 0}",20,5,15.226029277197135,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
76,True,"{'a': 0, 'e': 0}",20,0,-45.51023472667579,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
77,True,"{'a': 0, 'e': 0}",30,8,21.669508613696397,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
78,True,"{'a': 0, 'e': 0}",20,13,12.06524148795303,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,True,"{'a': 0, 'e': 0}",35,12,37.9498596745284,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,True,"{'a': 0, 'e': 0}",20,6,24.501535784597884,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,True,"{'a': 0, 'e': 0}",20,5,20.10253204832221,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,True,"{'a': 0, 'e': 0}",25,8,16.675671475369537,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
83,True,"{'a': 0, 'e': 0}",25,1,40.18099383002829,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,True,"{'a': 0, 'e': 0}",20,2,26.441288384224684,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,True,"{'a': 0, 'e': 0}",25,10,27.450369771816867,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,True,"{'a': 0, 'e': 0}",30,18,22.90349217112087,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,True,"{'a': 0, 'e': 0}",25,18,8.767174866020152,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,True,"{'a': 0, 'e': 0}",30,0,36.34941654746768,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
89,True,"{'a': 0, 'e': 0}",20,4,26.045326528016705,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,True,"{'a': 0, 'e': 0}",25,16,13.671644948546673,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,True,"{'a': 0, 'e': 0}",20,16,7.764606605402056,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,True,"{'a': 0, 'e': 0}",30,0,-37.618822344369704,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 2}",0
93,True,"{'a': 0, 'e': 0}",20,13,10.795885719281257,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,True,"{'a': 0, 'e': 0}",25,9,25.652930807902077,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,True,"{'a': 0, 'e': 0}",20,5,25.89153136670326,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,True,"{'a': 0, 'e': 0}",25,0,34.66523489750699,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
97,True,"{'a': 0, 'e': 0}",25,13,20.69420279547005,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,True,"{'a': 0, 'e': 0}",30,0,39.877062036813285,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
99,True,"{'a': 0, 'e': 0}",30,17,20.3964029148287,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,True,"{'a': 0, 'e': 0}",20,9,15.52529588158451,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
