trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
44,False,"{'a': 0.01, 'e': 0.9119999999999999}",20,0,-78.07141560186183,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
45,False,"{'a': 0.01, 'e': 0.9099999999999999}",20,0,-21.512948947621915,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
46,False,"{'a': 0.01, 'e': 0.9079999999999999}",25,0,-110.78436238940006,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
47,False,"{'a': 0.01, 'e': 0.9059999999999999}",25,0,-183.09417977475448,"{0: 12, 1: 5, 2: 5, 3: 0, 4: 3}",0
48,False,"{'a': 0.01, 'e': 0.9039999999999999}",20,0,-42.05034161141096,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
49,False,"{'a': 0.01, 'e': 0.9019999999999999}",20,0,-110.83781849619287,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
50,False,"{'a': 0.01, 'e': 0.8999999999999999}",25,12,-59.81069379038495,"{0: 7, 1: 3, 2: 2, 3: 0, 4: 1}",1
51,False,"{'a': 0.01, 'e': 0.8979999999999999}",20,0,-86.55953620627476,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
52,False,"{'a': 0.01, 'e': 0.8959999999999999}",30,0,-121.51082889038263,"{0: 17, 1: 3, 2: 9, 3: 0, 4: 1}",0
53,False,"{'a': 0.01, 'e': 0.8939999999999999}",20,6,-120.5327964248325,"{0: 7, 1: 2, 2: 2, 3: 1, 4: 2}",1
54,False,"{'a': 0.01, 'e': 0.8919999999999999}",20,0,-109.00212517645768,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
55,False,"{'a': 0.01, 'e': 0.8899999999999999}",25,0,-133.21602366671095,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 3}",0
56,False,"{'a': 0.01, 'e': 0.8879999999999999}",30,7,-70.01979400540777,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 0}",1
57,False,"{'a': 0.01, 'e': 0.8859999999999999}",20,0,-99.38462678670105,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
58,False,"{'a': 0.01, 'e': 0.8839999999999999}",25,12,-33.35234142089759,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
59,False,"{'a': 0.01, 'e': 0.8819999999999999}",20,0,-101.3957378864726,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
60,False,"{'a': 0.01, 'e': 0.8799999999999999}",25,0,-79.21537742084935,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
61,False,"{'a': 0.01, 'e': 0.8779999999999999}",20,0,-81.38659657587554,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
62,False,"{'a': 0.01, 'e': 0.8759999999999999}",20,0,-79.33472635211287,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
63,False,"{'a': 0.01, 'e': 0.8739999999999999}",20,0,-142.59959094624202,"{0: 9, 1: 5, 2: 3, 3: 1, 4: 2}",0
64,False,"{'a': 0.01, 'e': 0.8719999999999999}",20,0,-31.54874478095473,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
65,False,"{'a': 0.01, 'e': 0.8699999999999999}",20,0,-152.72001494598703,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
66,False,"{'a': 0.01, 'e': 0.8679999999999999}",20,0,-71.22901582853092,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
67,False,"{'a': 0.01, 'e': 0.8659999999999999}",20,0,-92.03181115241557,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
68,False,"{'a': 0.01, 'e': 0.8639999999999999}",20,14,1.4886396764956003,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.01, 'e': 0.8619999999999999}",20,0,-98.882341921622,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
70,False,"{'a': 0.01, 'e': 0.8599999999999999}",25,0,-68.95432820940893,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
71,False,"{'a': 0.01, 'e': 0.8579999999999999}",20,0,-144.76146992423955,"{0: 12, 1: 4, 2: 0, 3: 1, 4: 3}",0
72,False,"{'a': 0.01, 'e': 0.8559999999999999}",25,0,-115.35012120043379,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 2}",0
73,False,"{'a': 0.01, 'e': 0.8539999999999999}",25,0,-55.899438057229546,"{0: 18, 1: 5, 2: 1, 3: 0, 4: 1}",0
74,False,"{'a': 0.01, 'e': 0.8519999999999999}",20,0,-87.43198506113778,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
75,False,"{'a': 0.01, 'e': 0.8499999999999999}",25,0,-128.6127197606488,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
76,False,"{'a': 0.01, 'e': 0.8479999999999999}",20,0,-195.27827887179313,"{0: 8, 1: 3, 2: 5, 3: 1, 4: 3}",0
77,False,"{'a': 0.01, 'e': 0.8459999999999999}",20,0,-186.66300492626652,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 4}",0
78,False,"{'a': 0.01, 'e': 0.8439999999999999}",20,0,-127.61899090810292,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
79,False,"{'a': 0.01, 'e': 0.8419999999999999}",25,0,-104.7327867313819,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
80,False,"{'a': 0.01, 'e': 0.8399999999999999}",20,8,-74.85136820312782,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 2}",1
81,False,"{'a': 0.01, 'e': 0.8379999999999999}",20,6,-18.447784816327093,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
82,False,"{'a': 0.01, 'e': 0.8359999999999999}",25,16,-38.88317903883258,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 1}",1
83,False,"{'a': 0.01, 'e': 0.8339999999999999}",30,0,-86.93526272001014,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
84,False,"{'a': 0.01, 'e': 0.8319999999999999}",20,0,-63.63536309978372,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
85,False,"{'a': 0.01, 'e': 0.8299999999999998}",35,0,-160.85756799958116,"{0: 21, 1: 3, 2: 9, 3: 0, 4: 2}",0
86,False,"{'a': 0.01, 'e': 0.8279999999999998}",25,0,-93.64159472966544,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
87,False,"{'a': 0.01, 'e': 0.8259999999999998}",25,0,-113.82262644271144,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
88,False,"{'a': 0.01, 'e': 0.8239999999999998}",30,0,-46.26658492967403,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
89,False,"{'a': 0.01, 'e': 0.8219999999999998}",25,17,1.5631947901489305,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.01, 'e': 0.8199999999999998}",25,0,-83.28958184113189,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
91,False,"{'a': 0.01, 'e': 0.8179999999999998}",20,10,-18.698276982366867,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
92,False,"{'a': 0.01, 'e': 0.8159999999999998}",35,20,3.076641229987757,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
93,False,"{'a': 0.01, 'e': 0.8139999999999998}",20,0,-138.178783906048,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
94,False,"{'a': 0.01, 'e': 0.8119999999999998}",20,0,-37.10430296494285,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
95,False,"{'a': 0.01, 'e': 0.8099999999999998}",25,0,-109.85963868583228,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
96,False,"{'a': 0.01, 'e': 0.8079999999999998}",20,8,-110.03757357648693,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 2}",1
97,False,"{'a': 0.01, 'e': 0.8059999999999998}",20,0,-47.96350045656562,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
98,False,"{'a': 0.01, 'e': 0.8039999999999998}",20,0,-60.12296749196495,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",1
99,False,"{'a': 0.01, 'e': 0.8019999999999998}",25,0,-149.22938609058963,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
100,False,"{'a': 0.01, 'e': 0.7999999999999998}",20,0,-22.507037838884436,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
